Sentiment,SentimentText
0,สคบ
0,สคบ.
0,เดี๋ยวไปฟ้องสคบ
0,เดี๋ยวจะไปฟ้องสคบ
0,เดี๋ยวไปเจอที่สคบ  
0,เดี๋ยวไปฟ้อง สคบ
0,เดี๋ยวจะไปฟ้อง สคบ
0,เดี๋ยวไปเจอที่ สคบ  
0,อยู่กับที่ เช็คหน่อย
0,ของอยู่ไหน
0,ตอนนี้ยังไม่ได้ของ
0,ช้ามาก
0,เรื่องถึงสคบแน่
0,เรื่องถึง สคบ แน่
0,รับไม่ทัน
0,โทรกลับก้อไม่​รับ
0,เสียเวลามาก
1,เปลี่ยนที่อยู่ไม่ได้
1,เปลี่ยนใจ
0,ของจำเป็นต้องใช้
0,ติดต่อยาก
0,เน่า
0,ของเน่า
0,เรื่องเงียบ
0,ส่งช้า
0,ส่งโคตรช้า
0,ยังเงียบ
0,เงียบ
0,รอทั้งวัน
0,หาย
0,คนส่งขาย
0,ของหาย
0,ไม่สามารถติดผู้รับได้
0,ไม่สามารถติดผู้ส่งได้
1,อย่างไร
1,ซื้อที่ไหน
1,คนว่างหรือยัง
1,เจ้าหน้าที่
1,อยากเล่า
0,ไม่สามารถติดต่อได้
0,เช็คสถานะไม่ได้
0,ไม่มีใครโทรมา
1,อยากรู้
1,ตรวจสอบ
0,ของค้าง
0,ค้าง
0,อยู่ที่เดิม
0,ของอยู่ที่เดิม
0,หงุดหงิด
0,งงมาก
0,ไม่มี
0,ไม่ได้รับของ
0,เสียเวลา
0,รอนาน
0,ต้องรออีกนานไหม
0,ไม่กระตือรือล้น
0,ถ้าจะ
0,ช่วยแก้ไข
0,ตอบแชทหน่อย
0,รับผิดชอบ
0,ของสำคัญ
0,แต่
0,ไม่มีของ
0,ไม่มีพัสดุ
0,พัสดุหาย
0,เสร็จยัง
0,ของเสียหาย
0,ไม่รับผิดชอบ
0,ช้า
0,ถึงไหนแล้ว
0,แย่
0,บริการแย่
0,คุ้มครองผู้บริโภค
0,กรมคุ้มครองผู้บริโภค
0,จะฟ้อง
0,ฟ้องร้อง
0,ห่วย
0,โง่
0,ถูกหลอก
1,เก็บเงินปลายทาง
1,จะเลื่อนรับพัสดุ
1,รบกวน
1,ทำไม
1,ทำได้แค่นี้
1,ลืม
1,ทำไง
1,ขอบคุณ
1,น่ารัก
1,เร็ว
1,รวดเร็ว
1,ดี
1,สู้
1,รัก
1,ชอบจัง
1,ง่าย
1,สะดวก
1,ขอบใจมาก
1,ดีงาม
1,เชี่ยวชาญ
1,แถม
1,แท้
1,นวล
1,ประณีต
1,อดทน
1,ทน
1,ฉลาด
1,ชัดเจน
1,ตรง
1,โต
1,แท้
1,จริง
1,เน้น
1,แน่
1,แน่ชัด
1,แน่แน่ว
1,แน่ว
1,แน่วแน่
1,บริบูรณ์
1,บ้องแบ๊ว
1,เบาใจ
1,เบิกบาน
1,ประณีต
1,ปราดเปรียว
1,แปล้
1,ผ่อง
1,ผ่องใส
1,ถูก
1,สวยงาม
1,ราคา
1,พิทักษ์
1,พูน
1,มั่งคั่ง
1,มั่งมี
1,มั่นคง
1,ยอดเยี่ยม
1,เยี่ยม
1,เยี่ยมยอด
1,รอบคอบ
1,ร่ำรวย
1,รุ่ง
1,รุ่งเรือง
1,รุ่งโรจน์
1,เร้า
1,เรือง
1,ละเอียด
1,ละมุน
1,ละมุนละม่อม
1,ทันสมัย
1,ล้ำเลิศ
0,แตก
1,สวัสดี
0,เบื่อมาก
1,ชอบ
0,ห่วยแตก
1,ชอบมาก
0,เบื่อ
1,บริการ
0,แย่มาก
1,ปกติ
0,นาน
1,ดูดี
0,รอนานแล้ว
1,ได้รับ
0,เร็วมาก
1,เรียบร้อย
0,ช้าสุด
1,ดีเยี่ยม
0,หยาบคาย
1,สุภาพ
0,ทำตัวแย่มาก
1,ค่ะ
0,ห่วยแตกที่สุด
1,ครับ
0,เสีย
1,ประทับใจ
0,เสียความรู้สึก
1,บริการดีเยี่ยม
0,ไม่ชอบ
1,คะ
0,ทำไมถึงแย่แบบนี้
1,ใจดี
0,ตอบช้า
1,เป็นกันเอง
0,ตอบช้ามาก
1,ทันใจ
0,รอของนานมาก
1,ส่งไว
0,รอพัสดุนานมาก
1,มีให้
0,เมื่อไหร่
1,เลือกสรรค
0,เมื่อไหร่ของจะมา
1,มากมาย
0,หลายรอบแล้ว
1,สุภาพมาก
0,ไม่ใช่
1,สอบถาม
0,ยับ
1,ดีมากๆ
1,ปลอดภัย
1,ค่าขนส่ง
1,พนักงาน
1,สดใส
1,ยิ้มแย้ม
1,สุภาพเรียบร้อย
1,ขอสอบถาม
1,ขอสอบถามหน่อย
1,ดีมาก
1,ชื่นชม
1,ขอชื่นชม
1,ช่วยตรวจสอบ
1,รวดเร็วมาก
1,บริการดี
1,ใส่ใจ
1,ไม่มีรอย
1,ไม่มีรอยขีดช่วน
1,ติดตาม
1,ใจดีจัง
1,ทำดี
1,ได้รับของแล้ว
1,ขอบคุณมาก
1,อยากสอบถาม
1,ติดต่อ
1,ส่งเร็ว
1,ตอบหน่อย
1,ต้องทำยังไง
1,แพ็คของ
1,แพ็คของดี
0,ของจะมาถึงเมื่อไหร่
0,พัสดุจะมาถึงเมื่อไหร่
0,พัสดุค้าง
0,แพง
0,แพงมาก
0,นานจัง
0,นานมาก
0,เมื่อไหร่ของจะมาส่ง
0,ทำไมช้าแบบนี้
0,ขี้โกง
0,โดนโกง
0,แจ้งความ
0,รอ
0,ต้องรอ
0,มีรอย
0,มีรอยขีดข่วน
0,ใครจะรับผิดชอบ
0,แพงเกิน
0,ทำไมช้า
0,หาไม่เจอ
0,ติดต่อไม่ได้
0,ไม่ได้
0,ไม่ได้เรื่อง
0,โทรไปไม่รับ
0,โทรไปก็ไม่รับ
0,ยังไม่ถึง
0,อีกนานไหม
0,ดองพัสดุ
0,เสียหาย
0,ควรปรับปรุง
1,ไม่ต้องรอนาน
1,รอไม่นาน
1,แปปเดียว
1,ได้ของแล้ว
1,ได้ของมาสดๆร้อนๆ
1,จัดส่ง
1,ที่อยู่
1,ราคาถูก
1,ค่าส่งถูก
1,อยากทราบ
1,นำส่ง
1,นำส่งเรียบร้อย
1,แนะนำ
1,ขอคำแนะนำ
1,เต็มใจ
1,ด้วยความเต็มใจ
1,วันนี้
1,ตามพัสดุ
1,รักมาก
1,ส่งของ
1,ไว้ใจ
1,เชื่อใจ
1,ช่วยตาม
1,ฝากตาม
1,ให้หน่อย
1,ระบบ
1,รอบกวนตอบหน่อย
1,แพ็กของ
1,แพ็กของดี
1,คุ้ม
1,คุ้มมาก
1,ง่ายมาก
1,กำหนดส่ง
1,เคลม
1,เคลมของ
1,สมัครง่าย
1,ไม่ยุ่งยาก
1,ตรวจให้หน่อย
1,ตามให้หน่อย
1,ว้าวมาก 
1,เคอรี่ดรอปออฟ
1,เมนู
1,กลับเมนูหลัก
1,อีซี่ชิบ
1,อีซี่ชิป
1,เมนูหลัก
1,ดีใจ
1,สั่งพัสดุ
1,ปิดไหม
1,ปิดมั้ย
1,เปิดไหม
1,เปิดมั้ย
1,ถูกต้อง
1,ได้แล้ว
1,ขอบคุณนะ
1,น่ารักที่สุด
1,ราคาค่าส่ง
1,ค่าส่ง
1,ประหยัด
1,ประหยัดดี
1,ลดราคา
1,สถานะ
1,สถานะขนส่ง
1,รบกวนช่วย
1,รบกวนช่วยดู
1,ช่วยดู
1,รบกวนดู
1,เท่าไหร่
1,ประมาณ
1,ประมาณเท่าไหร่
1,รายละเอียด
1,ขอรายละเอียดหน่อย
1,ตรงเวลา
1,เพิ่มเติม
1,ข้อมูลเพิ่มเติม
1,ขอข้อมูล
1,สนใจ
1,ขอข้อมูลหน่อย
1,มาตฐาน
1,มาตฐานดี
1,ฉับไว
1,ว่องไว
1,ถามหน่อย
1,ถาม
1,โอเค
1,โอเคค่ะ
1,โอเคครับ
1,เอ็กซ์ตร้าแคร์
1,โชคดี
1, ที่1
1,ที่1ในดวงใจ
1,ที่หนึ่งในใจ
1,ที่หนึ่ง
1,ต้องขอโทษ
1,ต้องขอโทษด้วย
1,ที่1ในใจเลย
1,ดีที่สุด
1,ตามของให้หน่อย
1,รับส่ง
1,ก็ดีนะแบบนี้
1,จะได้รับของเมื่อไหร่
0,น่าสนใจ
0,อย่านิ่ง
0,ส่งผิด
0,จัดส่งผิด
0,ไม่ถูกต้อง
0,จัดส่งที่อยู่ไม่ถูก
0,ขัดข้อง
0,ระบบขัดข้อง
0,ไม่ไหว
0,ไม่เข้าใจ
0,ขโมย
0,ตก
0,ไม่ตรง
0,ค้างอยู่
0,ไม่ได้รับการติดต่อ
0,ทำของลูกค้าหาย
0,เกลียด
0,ส่งมั่ว
0,กลับไปกลับมา
0,จนป่านนี้
0,ไม่โทรบอกก่อน
0,มาส่งของไม่โทรบอกก่อน
0,ฉีกขาด
0,ขาด
0,อุส่า
0,อุส่าไว้ใจ
0,อุสาเชื่อใจ
0,อุตส่าห์
0,อุตส่า
0,ของส่งไม่ถึง
0,ไม่ถึง
0,ร้องเรียน
0,พัสดุเสียหาย
0,ยังไม่ได้ของ
0,ยังไม่ได้พัสดุ
0,ไม่มีอะไรคืบหน้า
0,ไม่คืบหน้า
0,อ้างว่า
0,ไม่อัพเดต
0,ผิดที่
0,ผิดบ้าน
0,มักง่าย
0,ครบกำหนดส่งแล้ว
0,ยุ่งยาก
0,งง
0,ยังไม่ได้รับของ
0,รีบใช้
0,รีบ
0,เจอปัญหา
0,ดันเอาของวางไว้หน้าบ้าน
0,นอกรั้ว
0,หลังรถ
0,ติดต่อผู้รับตอนไหนคะ 
0,ตอนไหน
0,ไม่ติดต่อ
0,ไม่ติดต่อลูกค้า
0,ตามจน
0,ควรจะได้
0,ควรจะต้อง
0,รอมา
0,บอกจะ
0,บอกว่าจะ
0,กระจอก
0,ไม่พบ
0,ไม่พบข้อมูล
0,ไม่มีความเคลื่อนไหว
0,จนวันนี้
0,หลายวันแล้ว
0,ไม่ขยับ
0,ตอบส่งๆ
0,รับผิดชอบยังไง
0,ไร้ประโยชน์
0,สินค้าแตก
1,กาก
0,กิน
0,ส่งๆ
0,ไม่มีใครตอบ
0,ติดต่อทางไหนก็ไม่ได้
0,ของยังไม่ถึง
0,ไม่ตรงเวลา
0,มาตฐานแย่
0,มาตฐานต่ำ
0,ไม่มาส่ง
0,ยังไม่ส่ง
0,ผิดหวัง
0,ล่าช้า
0,เกินไป
0,ไม่มีการติดต่อมา
0,ตามไม่ได้
0,โทรไม่ติด
0,ไม่มีวี่แวว
0,หายเงียบ
0,เยิน
0,เยินมาก
1,ยับเยิน
1,ใช้ได้
1,ใช่ได้เลย
1,ยังไงหรอ
1,อย่างดี
1,เรียบร้อยสวยงาม
1,ทำต่อไปนะ
1,สู้ๆ
1,เป็นกำลังใจให้
0,งานดี
0,ใช่ไม่ได้
0,ใช้ไม่ได้เลย
0,ทำแบบนี้ได้ไง
0,อย่างแย่
0,อย่างแย่เลย
0,โคตรแย่
0,โคตรห่วย
0,อย่างห่วย
1,งานแย่
1,คับผม
1,ครับผม
1,คับ
1,ค่ะ
1,คะ
1,เช็ค
1,เช็คเลข
1,ช่วยเช็ค
0,ก็ดี
0,กากมาก
0,ทำแบบนี้กับลูกค้าได้ไง
1,ทำแบบนี้กับลูกค้าได้ยังไง
1,พูดจา
1,มีกันกระแทก
1,พูดจาดี
1,ทำไงได้บ้าง
1,เปลี่ยนเบอร์ผู้รับได้ไหม
1,ต้องการ
1,เข้าใช้งาน
1,สามารถ
1,ทำรายการ
1,คีย์ข้อมูล
1,แจ้งเตือน
1,อัพเดต
1,การใช้งาน
1,อับเดต
1,อัพเดตการใช้งาน
1,ส่งพัสดุแล้ว
1,สมัคร
1,สมัครได้ไหม
1,สามารถอัพโหลด
1,ข้อมูลสถานะ
1,ต้องเข้าไปดูตรงไหน
1,ทันที
1,ใช้เวลา
1,ใช้เวลากี่วัน
1,ส่งของไหม
1,เท่ากันไหม
1,มีโปรโมชั่นอะไรบ้าง
1,มีส่วนลดไหม
0,รับเรื่องให้
0,ฟ้องร้อง
1,ทุเรศ
1,พัง
1,กล่องพัง
1,เปลี่ยนเบอร์ผู้รับได้ไหม
1,ฟรี
1,สะสมแต้ม
1,ได้หรือไม่
1,เข้าไปดูตรงไหน
1,มีขึ้นต่ำไหม
1,ติดต่อที่ไหน
1,ขั้นตอน
1,ขับรถ
0,สุภาพดีมาก
0,ฟ้อง
0,เดี๋ยวจะฟ้อง
0,ฟ้องสคบ
0,ฟ้อง สคบ
0,เดี๋ยวจะไปฟ้องเฟสบุคสคบ
0,เดี๋ยวจะไปฟ้องเฟซบุคสคบ
0,เดี๋ยวจะไปฟ้องเฟสบุ๊คสคบ
0,ไม่สุภาพ
0,จัดส่งล่าช้า
0,ไม่ใส่หน้ากากอนามัย
0,สวะ
0,ขยะ
0,ไม่ใส่
0,โยน
0,โยนของ
0,โยนพัสดุ
0,ไม่เต็มใจ
0,ได้รับความเสียหาย
0,ไม่มีเงินทอน
0,ไม่เคารพกฏจราจร 
0,ไม่มีกันกระแทก
0,ผิดที่อยู่
0,สูญหาย
0,พัสดุสูญหาย
0,ตีคืนกลับ
0,ขวาง
0,ไม่ได้รับอนุญาต
0,โดยไม่ได้รับอนุญาต
0,ไม่สามารถ
0,ไม่แจ้งเตือน
0,ไม่ได้รับ
0,ยังไม่ได้รับ
0,ไม่อัปเดต
0,ไม่อับเดต
0,ไม่ขึ้น
0,ทำไมพัสดุส่งช้า
0,ไม่ถึงตามกำหนด
0,แต้มไม่ขึ้น
1,เสียค่าบริการ
1,ปักหมุด
0,บริจาค
0,พัสดุผิด
0,โดยที่ไม่ได้รับอนุญาต
0,เหี้ย
0,สัด
0,หมา
0,ควาย
0,แรด
0,กระทิง
0,ฟาย
0,หมาบ้า
0,มัจจุราช
0,เควี่ย
0,เชี่ย
0,เงี่ยน
0,ส้นตีน
0,ชาติชั่ว
0,สถุล
0,ระยำ
0,สันดาน
0,ไอ้สัตว์นรก
0,พ่อมึงตาย
0,แม่มึงตาย
0,ชิงหมาเกิด
0,จัญไร
0,ใจหมา
0,ช้างเย็ด
0,อัปปรี
0,ชาติหมา
0,อีวาฬ
0,หน้าส้นตีน
0,ไอเหี้ย
0,ไอสัด
0,ไอ้หมา
0,ไอ้ควาย
0,นรกแดกกบาล
0,เศษนรก
0,กวนส้นตีน
0,ล่อกัน
0,เอากัน
0,แทงกัน
0,ยิงกัน
0,ปี้กัน
0,ตีกัน
0,หน้าตัวเมืย
0,หน้าหี
0,หน้าควย
0,ไอ้ขึ้หมา
0,แมงดา
0,กระดอ
0,อีหน้าหี
0,กระสัน
0,ไอเหี้ยหน้าหี
0,อีเหี้ย
0,อีสัด
0,อีหมา
0,อีควาย
0,อีปลาวาฬ
0,อีหน้าหมา
0,สาด
0,อีฟันหมาบ้า
0,อีหน้าควาย
0,กินขี้ปี้เยี่ยว
0,อีปลาเงือก
0,ไอ้ส้นตีน
0,เสือกพะยูน
0,พ่อมึง
0,แม่มึง
0,พ่อง
0,แม่ง
0,พ่อมึงตาย
0,แม่มึงตาย
0,ควย
0,หี
0,เจี๊ยว
0,แดก
0,ขี้
0,เยี่ยว
0,ขึ้แตก
0,จรวย
0,ไอเข้
0,ไอ้สัส
0,ขายตัว
0,ลูกอีกะหรี่
0,ลูกอีดอกทอง
0,ลูกอีสาด
0,ยัดแม่
0,ฟักยู
0,อีอับปรี
0,อีกระหรี่
0,อีกะหรี
0,อีชาติชั้ว
0,อีช้างเย๊ด
0,อีห่า
0,อยากเอาหญิง
0,ระยำ
0,ทมิฬ
0,ลูกโสเภณี
